Feature_Combination,Num_Features,LogLik_Original_Copula,LogLik_Refit_Copula,LogLik_Drop_Original,LogLik_Drop_Refit,LogLik_Drop_vs_OriginalCombo
sd_norm_heart+height+calories,3,0.0778870356010679,0.0025769641342933657,3.0007009699225695,4.1991053456479275,1.198404375725358
steps_times_distance+entropy_steps+age+calories,4,0.07797582627660511,0.23445180300312785,3.000612179247032,3.967230506779093,0.966618327532061
sd_norm_heart+weight+age+calories,4,0.0780765095735022,0.03914803971975969,3.000511495950135,4.162534270062461,1.1620227741123261
entropy_heart+sd_norm_heart+steps_times_distance+steps,4,0.0782120128116428,0.516366185592331,3.0003759927119944,3.68531612418989,0.6849401314778958
steps_times_distance+resting_heart+weight+calories,4,0.07878417050197177,0.19171980678237505,2.9998038350216656,4.009962502999846,1.0101586679781804
heart_rate+height+steps+age,4,0.0809070871119612,0.16414859604443832,2.9976809184116764,4.0375337137377825,1.039852795326106
entropy_heart+norm_heart+resting_heart+calories,4,0.08299327842292517,0.1700363983425484,2.995594727100712,4.031645911439672,1.0360511843389602
sd_norm_heart+steps+weight+calories,4,0.0835248157592482,0.1470187448743922,2.995063189764389,4.054663564907829,1.0596003751434395
intensity_karvonen+entropy_steps+height+calories,4,0.0836786504347019,0.056509716571344515,2.9949093550889354,4.1451725932108765,1.150263238121941
sd_norm_heart+weight+calories,3,0.08375567325001335,0.0194060732854362,2.994832332273624,4.182276236496785,1.1874439042231608
norm_heart+entropy_steps+resting_heart+distance,4,0.0838218078679295,0.17647897904595733,2.994766197655708,4.025203330736264,1.0304371330805555
steps_times_distance+entropy_steps+calories,3,0.08479391997221733,0.19743077205834628,2.99379408555142,4.004251537723875,1.0104574521724552
entropy_heart+steps_times_distance+resting_heart+calories,4,0.0850794351429467,0.36323292821613723,2.9935085703806905,3.838449381566084,0.8449408111853933
